replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
10,0.898,0.108,0.507,0.0728151139278552,0.0758354825142114,0.0728501397194464,0.0810858729708855,0.702180393650106,0.143688638499894,unlinked,additive,0.9,0.1,esize0.1,noss,nons
11,0.883,0.103,0.492,0.0682208299029927,0.0688165262543401,0.0574633867460536,0.0772602830158467,0.668121614119807,0.116795501516369,unlinked,additive,0.9,0.1,esize0.1,noss,nons
12,0.889,0.096,0.479,0.0840857191398474,0.0513491450160327,0.0700510018282598,0.0945846109559589,0.53488692725034,0.146244262689478,unlinked,additive,0.9,0.1,esize0.1,noss,nons
13,0.899,0.103,0.502,0.0634790661299825,0.0566136206298125,0.0706818107248742,0.070610752091193,0.549646802231189,0.140800419770666,unlinked,additive,0.9,0.1,esize0.1,noss,nons
14,0.887,0.106,0.501,0.0747854072854935,0.0619743198956682,0.0626701764829824,0.0843127477852238,0.584663395242153,0.125090172620723,unlinked,additive,0.9,0.1,esize0.1,noss,nons
15,0.912,0.1,0.508,0.065121550400237,0.0622699849077239,0.0556593135393662,0.0714052087721897,0.622699849077239,0.109565577833398,unlinked,additive,0.9,0.1,esize0.1,noss,nons
16,0.895,0.113,0.524,0.0744023809142845,0.0774662533504962,0.0730110419381751,0.0831311518595357,0.685542065048639,0.139334049500334,unlinked,additive,0.9,0.1,esize0.1,noss,nons
17,0.902,0.097,0.497,0.0605754715631834,0.0617846820723026,0.0499080787701812,0.0671568420877865,0.63695548528147,0.100418669557709,unlinked,additive,0.9,0.1,esize0.1,noss,nons
18,0.89,0.086,0.489,0.0892142571199771,0.0606428150765461,0.0771230133207558,0.100240738337053,0.705149012517977,0.157715773662077,unlinked,additive,0.9,0.1,esize0.1,noss,nons
19,0.909,0.104,0.521,0.0550417281408814,0.0727309832077592,0.0714928282402922,0.0605519561505846,0.699336376997684,0.137222319079256,unlinked,additive,0.9,0.1,esize0.1,noss,nons
